,x,y
0,-0.24010404835667667,0.3090190623787284
1,-1.3197858928994604,0.033447767946003064
2,-1.606565356294758,-0.35055447497571146
3,-1.4214150679888773,-0.20931150995141568
4,-1.5289640486020941,0.1015478895734636
5,-1.8676446845270882,-0.0487454354602151
6,-1.5127402865987758,-0.126131210925917
7,-1.0677064714466362,0.19661611288398595
8,-1.509783608804741,-0.01128555313306998
9,-1.7639098409635572,-1.4669308402378291e-05
10,-1.2687834544499585,0.05767210794223576
11,-1.5879107873659415,0.040731241980585205
12,-0.32913687009308124,-0.16448721111729256
13,-0.8219709581935856,-0.1891357996431731
14,0.061745385320601844,-0.11304043102336735
15,-1.527039246100527,-0.47944489846563293
16,-1.3550513119754657,-0.027431940978215462
17,-1.591510300683648,-0.056813358835079236
18,-1.8538490150226152,-0.22397867424213921
19,-1.356190535350346,-0.35305549278371995
20,-1.530465036774641,-0.3543993554136546
21,-1.504824925582408,-0.08762076021552608
22,-1.4281248453344295,-0.2535797449776862
23,-1.2607696677778282,-0.42043509363275866
24,-0.9416459179446027,-0.2764352887913379
25,-1.216308396756662,0.03905654078766699
26,-1.5199233603634392,-0.05858433182835755
27,-0.8396275600705904,0.3359562779880904
