,x,y
0,,
1,0.005432012577287126,0.2339283884771065
2,0.05594630968662154,0.24941653954270718
3,0.025314132672321077,-0.07127550517122377
4,-0.061524469335657306,0.04079083041962839
5,0.06113188561951342,0.11287389611446619
6,-0.06285966850446645,0.07139142287604545
7,0.040997273140428836,0.17463904151021276
8,-0.1388483965955009,-0.1056972149832387
9,0.13466988158660642,0.030068575788330935
10,0.12942442750342212,-0.08515056374202862
11,0.16428115303995527,0.02937415859166646
12,0.040332789896554956,0.2004616486834514
13,0.10538515557536669,0.2677161293026579
